"Continent.Name","Country.Name","Store.Count","GDP_.billions.","Population_.thousands.","Stores_per_cap","GDP_per_cap","Illiteracy","Crime","medianHouseholdIncome","medianPerCapitaIncome"
"Europe","Andorra, Principality of",1,2.89667921186628,NA,NA,NA,NA,NA,NA,NA
"Asia","United Arab Emirates",144,357.045064669843,9360.975,1538.30129874292,38.1418671313451,19.1751927550282,15.45,NA,NA
"South America","Argentina, Argentine Republic",108,557.531376217967,43508.459,248.22759178853,12.814321376401,2.29065082493499,62.26,14432,4109
"Europe","Austria, Republic of",18,395.227684138862,8747.306,205.777641710488,45.1827893226625,NA,NA,NA,NA
"Oceania","Australia, Commonwealth of",22,1208.84699373999,24262.71,90.6741250256051,49.8232470214576,NA,NA,NA,NA
"North America","Aruba",3,2.9659217877095,104.865,2860.82105564297,28.2832383322319,6.0649406379631,NA,NA,NA
"Europe","Azerbaijan, Republic of",8,37.8675189571975,19472.082,41.084461332897,1.94470827296216,0.26353542129359,32.12,11446,2430
"Europe","Belgium, Kingdom of",19,475.900865683644,11354.407,167.335907546735,41.913317506026,NA,NA,NA,NA
"Europe","Bulgaria, Republic of",5,53.7850503393665,7151.948,69.9110228430072,7.52033576577549,NA,NA,NA,NA
"Asia","Bahrain, Kingdom of",21,32.2501329787234,1425.793,1472.86457431058,22.6190849434128,7.40357977786553,26.68,24693,4778
"Asia","Brunei Darussalam",5,11.4008542677188,419.791,1191.0688890424,27.1584056535724,7.30422996205255,NA,NA,NA
"South America","Bolivia, Republic of",4,33.9411261939219,11031.822,36.258743116051,3.07665643933721,16.5629183163639,NA,NA,NA
"South America","Brazil, Federative Republic of",102,1795.70016899149,206163.056,49.475401645191,8.71009677403836,18.7770051617137,68.31,7522,2247
"North America","Bahamas, Commonwealth of the",10,11.9384,377.923,2646.04165398772,31.589503681967,NA,NA,NA,NA
"North America","Canada",1468,1528.24321398208,36382.942,4034.85787378052,42.0043880448722,NA,NA,NA,NA
"Europe","Switzerland, Swiss Confederation",61,671.309197376701,8379.915,727.931011233407,80.1093086715916,NA,NA,NA,NA
"South America","Chile, Republic of",96,250.440136356127,18209.072,527.209733697577,13.7535914161978,8.68848505843681,49.6,8098,2040
"Asia","China, People's Republic of",2734,11233.2771465122,1414049.353,193.345444004457,7.94404885705018,8.73104975000119,31.18,6180,1786
"South America","Colombia, Republic of",11,282.825012368255,48175.048,22.8333970731072,5.87077800873712,13.6519947006591,54.94,6544,1534
"North America","Costa Rica, Republic of",11,57.1579924341805,4899.336,224.520220699295,11.6664773418644,5.71638687364982,55.59,8929,2032
"North America","Cura̤ao",3,3.12228793296089,161.055,1862.71770513179,19.3864700441519,NA,NA,NA,NA
"Europe","Cyprus, Republic of",20,20.8909364622537,2340.378,854.562809939249,8.92630868272292,NA,NA,NA,NA
"Europe","Czech Republic",28,195.090272402729,10618.868,263.681590165731,18.3720404475062,0.472107761392269,NA,NA,NA
"Europe","Germany, Federal Republic of",160,3466.79006501183,82193.77,194.661955522906,42.1782583401617,NA,NA,NA,NA
"Europe","Denmark, Kingdom of",21,313.115929314339,5711.346,367.689157687172,54.8234915752502,NA,NA,NA,NA
"Africa","Egypt, Arab Republic of",31,332.927833278038,94447.071,32.8226165954898,3.52502020182328,66.564300866461,46.65,3111,623
"Europe","Spain, Kingdom of",101,1232.07601736153,46634.131,216.579569157191,26.420048812779,5.04669128497323,32.33,21959,7284
"Europe","Finland, Republic of",8,240.607907010383,5497.714,145.515026791135,43.7650825434686,NA,NA,NA,NA
"Europe","France, French Republic",132,2471.28560708172,64667.59,204.120796831922,38.2152111603621,NA,NA,NA,NA
"Europe","United Kingdom of Great Britain & Northern Ireland",901,2694.28320961329,66297.944,1359.01650283454,40.6390160396722,NA,NA,NA,NA
"Europe","Greece, Hellenic Republic",28,195.222443512937,10615.183,263.773125720018,18.390869334324,5.85962578318245,41.3,17777,6086
"North America","Guatemala, Republic of",7,66.0537250490138,16583.079,42.2117026639022,3.98320028801731,37.0719052434915,58.59,4516,898
"Europe","Hungary, Republic of",16,127.507473625632,9752.97,164.052591159411,13.073707150297,2.49841843048835,35.23,12445,4493
"Asia","Indonesia, Republic of",268,931.877364177742,261556.386,102.46356592494,3.56281633352184,11.2675387261748,46.06,2199,541
"Europe","Ireland",73,300.52329771296,4695.79,1554.58399971038,63.9984534472283,NA,NA,NA,NA
"Asia","India, Republic of",88,2294.79797829198,1324517.25,6.64393008094081,1.73255424064275,63.6367058765499,44.42,3168,616
"Asia","Jordan, Hashemite Kingdom of",17,39.196676056338,9554.286,177.930616688678,4.10252278991209,4.0530675622089,40.83,8276,1550
"Asia","Japan",1237,4922.53814145462,127763.267,968.196907488285,38.528586948662,NA,NA,NA,NA
"Asia","Cambodia, Kingdom of",4,20.0167477540192,15766.29,25.3705849632349,1.26959149895246,45.9586111676664,52.18,2308,451
